Taxon	PspC	Reads
6952_4#10.fa	7553_4#14.fa	14482
6952_4#11.fa	7553_6#2.fa	22379
6952_4#12.fa	7622_5#65.fa	17940
6952_4#13.fa	6952_4#22.fa	15174
6952_4#14.fa	6952_4#14.fa	20514
6952_4#15.fa	7553_6#2.fa	11224
6952_4#16.fa	7622_4#12.fa	26839
6952_4#17.fa	7001_3#2.fa	21581
6952_4#18.fa	6999_5#21.fa	25749
6952_4#19.fa	7622_4#13.fa	22107
6952_4#1.fa	7553_6#1.fa	27444
6952_4#20.fa	7622_2#22.fa	17667
6952_4#21.fa	6999_5#5.fa	23627
6952_4#22.fa	6952_4#22.fa	15721
6952_4#23.fa	6999_6#23.fa	12445
6952_4#3.fa	7622_4#41.fa	23589
6952_4#4.fa	6999_7#4.fa	20835
6952_4#5.fa	7001_2#11.fa	21187
6952_4#6.fa	7622_4#42.fa	16281
6952_4#7.fa	7553_6#1.fa	27729
6952_4#8.fa	6925_2#88.fa	18380
6952_7#10.fa	7553_6#2.fa	8856
6952_7#11.fa	7622_4#23.fa	11383
6952_7#13.fa	7622_5#65.fa	7861
6952_7#14.fa	7622_4#21.fa	8391
6952_7#15.fa	7622_5#96.fa	8010
6952_7#16.fa	6999_6#16.fa	9647
6952_7#17.fa	7622_4#13.fa	13032
6952_7#18.fa	7622_4#12.fa	8290
6952_7#19.fa	7001_3#4.fa	20073
6952_7#1.fa	6999_5#21.fa	10389
6952_7#20.fa	6999_3#13.fa	7995
6952_7#21.fa	7622_4#41.fa	10558
6952_7#22.fa	7622_4#38.fa	10121
6952_7#23.fa	7622_4#41.fa	6484
6952_7#2.fa	7553_5#60.fa	6314
6952_7#3.fa	7622_4#23.fa	13376
6952_7#4.fa	7622_4#23.fa	10693
6952_7#5.fa	7622_3#83.fa	5623
6952_7#6.fa	7622_4#36.fa	8242
6952_7#7.fa	7553_6#2.fa	8850
6952_7#8.fa	7001_2#10.fa	11446
6952_7#9.fa	7622_5#95.fa	4640
6999_1#10.fa	7622_4#13.fa	11306
6999_1#11.fa	6999_1#11.fa	10276
6999_1#12.fa	7622_4#41.fa	13969
6999_1#13.fa	6999_3#11.fa	9010
6999_1#14.fa	7622_5#77.fa	8445
6999_1#15.fa	6999_2#18.fa	7851
6999_1#16.fa	7001_3#4.fa	14794
6999_1#17.fa	7622_5#73.fa	10517
6999_1#18.fa	7553_6#2.fa	14945
6999_1#19.fa	6999_1#19.fa	20641
6999_1#1.fa	7622_4#38.fa	14101
6999_1#20.fa	7622_4#36.fa	11855
6999_1#21.fa	7553_6#4.fa	13973
6999_1#22.fa	7001_3#10.fa	9174
6999_1#23.fa	6999_1#22.fa	8188
6999_1#2.fa	7622_5#77.fa	10066
6999_1#3.fa	7622_4#13.fa	11883
6999_1#4.fa	7622_4#23.fa	14162
6999_1#5.fa	6999_1#5.fa	8657
6999_1#6.fa	7622_4#36.fa	12548
6999_1#7.fa	6999_1#19.fa	25319
6999_1#8.fa	7622_4#12.fa	10121
6999_1#9.fa	6999_5#21.fa	18095
6999_2#10.fa	7622_4#12.fa	9631
6999_2#11.fa	7001_2#1.fa	16830
6999_2#12.fa	7622_5#77.fa	10474
6999_2#13.fa	7553_5#60.fa	9662
6999_2#14.fa	7553_6#1.fa	7365
6999_2#15.fa	7622_5#73.fa	10182
6999_2#16.fa	7553_4#14.fa	7655
6999_2#17.fa	6930_8#17.fa	10220
6999_2#18.fa	7622_4#13.fa	10520
6999_2#19.fa	7001_3#4.fa	20775
6999_2#1.fa	7622_5#73.fa	10690
6999_2#20.fa	7001_3#4.fa	19693
6999_2#21.fa	7622_4#36.fa	14855
6999_2#22.fa	7622_5#65.fa	7993
6999_2#23.fa	7622_4#23.fa	15617
6999_2#2.fa	7622_4#39.fa	10079
6999_2#3.fa	6999_2#3.fa	10684
6999_2#4.fa	7553_6#1.fa	14532
6999_2#5.fa	7553_6#1.fa	13150
6999_2#6.fa	6999_5#21.fa	9556
6999_2#7.fa	7622_4#12.fa	7770
6999_2#8.fa	6999_7#19.fa	9682
6999_2#9.fa	6999_2#9.fa	9477
6999_3#10.fa	7622_4#36.fa	11430
6999_3#11.fa	6999_3#11.fa	9360
6999_3#12.fa	7553_4#14.fa	8165
6999_3#13.fa	6999_3#13.fa	9917
6999_3#14.fa	6999_3#14.fa	13661
6999_3#15.fa	7001_1#9.fa	12928
6999_3#16.fa	7553_6#2.fa	13301
6999_3#17.fa	7622_5#77.fa	8000
6999_3#18.fa	6999_5#5.fa	12308
6999_3#19.fa	7553_6#2.fa	10763
6999_3#1.fa	6999_7#4.fa	10854
6999_3#20.fa	7001_2#1.fa	18131
6999_3#21.fa	7622_4#36.fa	12738
6999_3#22.fa	7001_2#1.fa	22026
6999_3#23.fa	6999_5#21.fa	11946
6999_3#2.fa	6999_7#4.fa	9476
6999_3#3.fa	7622_3#69.fa	15231
6999_3#4.fa	7622_3#83.fa	6109
6999_3#5.fa	7622_4#23.fa	10043
6999_3#6.fa	7553_6#1.fa	14287
6999_3#7.fa	7622_3#83.fa	8398
6999_3#8.fa	6999_6#3.fa	8555
6999_3#9.fa	6999_5#5.fa	10146
6999_4#10.fa	7001_1#16.fa	9569
6999_4#11.fa	7622_5#73.fa	9265
6999_4#12.fa	7553_6#2.fa	13941
6999_4#13.fa	7622_4#29.fa	11009
6999_4#14.fa	7553_6#2.fa	8307
6999_4#15.fa	6999_6#14.fa	9735
6999_4#16.fa	7622_4#36.fa	14611
6999_4#17.fa	7622_4#12.fa	11715
6999_4#18.fa	6999_4#18.fa	8265
6999_4#19.fa	7622_3#83.fa	7116
6999_4#1.fa	7622_5#94.fa	8969
6999_4#20.fa	6999_4#20.fa	8232
6999_4#21.fa	6999_6#9.fa	10572
6999_4#22.fa	7001_3#11.fa	10669
6999_4#23.fa	6999_5#5.fa	11383
6999_4#2.fa	7622_5#77.fa	10576
6999_4#4.fa	7553_6#1.fa	6169
6999_4#6.fa	6999_4#6.fa	7761
6999_4#7.fa	6999_4#7.fa	11241
6999_4#8.fa	7622_4#13.fa	10988
6999_4#9.fa	7622_5#94.fa	8738
6999_5#10.fa	7001_1#9.fa	12399
6999_5#11.fa	6930_8#10.fa	9121
6999_5#12.fa	7622_4#38.fa	6821
6999_5#13.fa	7553_6#2.fa	11336
6999_5#14.fa	7553_6#1.fa	13979
6999_5#15.fa	6999_5#15.fa	6744
6999_5#16.fa	6952_4#14.fa	8356
6999_5#17.fa	7622_5#73.fa	9334
6999_5#18.fa	7622_4#13.fa	15087
6999_5#19.fa	7622_5#73.fa	8922
6999_5#1.fa	7622_5#68.fa	10673
6999_5#20.fa	7622_5#77.fa	7866
6999_5#21.fa	6999_5#21.fa	10847
6999_5#22.fa	7622_5#77.fa	8351
6999_5#23.fa	6999_5#23.fa	5889
6999_5#2.fa	7622_5#77.fa	10296
6999_5#3.fa	7622_4#41.fa	13197
6999_5#4.fa	7622_4#23.fa	14559
6999_5#5.fa	7622_4#13.fa	11397
6999_5#6.fa	6999_7#6.fa	10510
6999_5#7.fa	6999_5#7.fa	7354
6999_5#8.fa	7001_2#11.fa	11746
6999_5#9.fa	6999_4#16.fa	13922
6999_6#10.fa	6999_6#16.fa	7942
6999_6#11.fa	6999_6#11.fa	10691
6999_6#12.fa	7001_2#11.fa	13979
6999_6#13.fa	7622_4#13.fa	10103
6999_6#14.fa	6999_6#14.fa	7921
6999_6#15.fa	7553_6#2.fa	5954
6999_6#16.fa	6999_6#16.fa	11691
6999_6#17.fa	7622_5#65.fa	7251
6999_6#18.fa	7622_4#31.fa	8758
6999_6#19.fa	6999_6#9.fa	8227
6999_6#1.fa	7622_4#13.fa	10541
6999_6#20.fa	7553_5#64.fa	6726
6999_6#21.fa	7622_2#29.fa	7037
6999_6#22.fa	7622_4#38.fa	9957
6999_6#23.fa	6999_6#23.fa	8965
6999_6#2.fa	6930_8#10.fa	7100
6999_6#3.fa	6952_4#14.fa	9487
6999_6#4.fa	7622_5#65.fa	6688
6999_6#5.fa	7622_4#35.fa	11171
6999_6#6.fa	7001_1#11.fa	7169
6999_6#7.fa	7622_5#65.fa	6455
6999_6#8.fa	7622_5#77.fa	7683
6999_6#9.fa	6999_6#9.fa	8985
6999_7#10.fa	6999_6#16.fa	5595
6999_7#11.fa	7553_5#64.fa	9283
6999_7#12.fa	6999_1#19.fa	14874
6999_7#13.fa	6999_1#22.fa	7843
6999_7#14.fa	7622_4#23.fa	13521
6999_7#15.fa	7622_3#83.fa	5387
6999_7#16.fa	7622_4#36.fa	13371
6999_7#17.fa	7622_5#94.fa	10541
6999_7#18.fa	7622_4#38.fa	32187
6999_7#19.fa	6999_7#19.fa	10891
6999_7#1.fa	7622_2#29.fa	8601
6999_7#20.fa	7622_4#13.fa	14743
6999_7#21.fa	6999_7#21.fa	9222
6999_7#22.fa	7622_5#73.fa	12747
6999_7#23.fa	7622_5#73.fa	11212
6999_7#2.fa	7622_5#65.fa	7199
6999_7#3.fa	7553_4#14.fa	7489
6999_7#4.fa	6999_7#4.fa	11181
6999_7#5.fa	6999_7#5.fa	10660
6999_7#6.fa	6999_7#6.fa	10216
6999_7#7.fa	7553_6#1.fa	16489
6999_7#8.fa	6999_1#22.fa	22275
6999_7#9.fa	6999_7#9.fa	8926
7001_1#10.fa	7622_4#23.fa	11229
7001_1#11.fa	7001_1#11.fa	11788
7001_1#12.fa	6999_6#14.fa	8262
7001_1#13.fa	7553_6#4.fa	11971
7001_1#14.fa	7553_6#4.fa	12787
7001_1#15.fa	6999_6#14.fa	8022
7001_1#16.fa	6999_2#9.fa	8199
7001_1#17.fa	7622_5#73.fa	8650
7001_1#18.fa	7622_5#65.fa	7371
7001_1#19.fa	7553_6#1.fa	13191
7001_1#1.fa	6999_1#19.fa	18515
7001_1#20.fa	7553_6#4.fa	15373
7001_1#21.fa	7622_5#73.fa	7755
7001_1#22.fa	7001_1#9.fa	12655
7001_1#23.fa	7001_1#23.fa	6597
7001_1#2.fa	7622_5#77.fa	8842
7001_1#3.fa	7622_5#65.fa	8399
7001_1#4.fa	7001_1#4.fa	8941
7001_1#5.fa	7622_4#23.fa	12078
7001_1#6.fa	7553_6#4.fa	11787
7001_1#7.fa	7001_2#1.fa	16891
7001_1#8.fa	7622_4#13.fa	14123
7001_1#9.fa	7553_4#14.fa	12419
7001_2#10.fa	7001_2#10.fa	8727
7001_2#11.fa	7553_6#1.fa	10213
7001_2#12.fa	7622_5#77.fa	7902
7001_2#13.fa	7622_4#12.fa	9037
7001_2#14.fa	7622_4#23.fa	11066
7001_2#15.fa	7622_4#12.fa	7571
7001_2#16.fa	6999_5#15.fa	7575
7001_2#17.fa	6930_8#17.fa	8403
7001_2#18.fa	6999_2#3.fa	7345
7001_2#19.fa	7622_5#77.fa	7383
7001_2#1.fa	6999_1#19.fa	21169
7001_2#20.fa	6999_6#14.fa	7601
7001_2#21.fa	7001_3#4.fa	17122
7001_2#22.fa	7001_2#22.fa	6290
7001_2#23.fa	7001_3#4.fa	20276
7001_2#2.fa	7622_5#65.fa	6742
7001_2#3.fa	7622_5#77.fa	7445
7001_2#4.fa	7001_2#4.fa	5030
7001_2#5.fa	7622_5#62.fa	5950
7001_2#6.fa	7622_5#77.fa	7340
7001_2#7.fa	7622_4#38.fa	10149
7001_2#8.fa	7622_4#12.fa	7120
7001_2#9.fa	6999_2#18.fa	6795
7001_3#10.fa	7001_3#10.fa	7202
7001_3#11.fa	7622_5#68.fa	7052
7001_3#12.fa	7622_5#94.fa	6377
7001_3#13.fa	7622_5#65.fa	6521
7001_3#14.fa	7001_3#4.fa	18936
7001_3#15.fa	7553_6#1.fa	9912
7001_3#16.fa	6999_1#22.fa	7962
7001_3#17.fa	7001_3#10.fa	9421
7001_3#18.fa	7622_5#94.fa	8256
7001_3#19.fa	7622_5#65.fa	6543
7001_3#1.fa	7622_4#23.fa	12130
7001_3#20.fa	7622_3#69.fa	10572
7001_3#21.fa	7001_3#4.fa	16317
7001_3#22.fa	6925_2#82.fa	7826
7001_3#2.fa	7001_3#2.fa	9658
7001_3#3.fa	7622_4#13.fa	8223
7001_3#4.fa	7001_3#4.fa	18329
7001_3#5.fa	7553_6#4.fa	12551
7001_3#6.fa	6999_3#23.fa	9975
7001_3#7.fa	7622_5#73.fa	10081
7001_3#8.fa	7622_5#73.fa	10112
7001_3#9.fa	7553_6#4.fa	13796
7553_4#10.fa	7622_5#67.fa	9189
7553_4#11.fa	7622_5#56.fa	13748
7553_4#12.fa	7553_5#76.fa	5976
7553_4#13.fa	7001_3#10.fa	6154
7553_4#14.fa	7553_4#14.fa	8847
7553_4#15.fa	7553_6#1.fa	8691
7553_4#16.fa	6999_6#14.fa	8082
7553_4#17.fa	7622_4#13.fa	8655
7553_4#18.fa	7622_5#77.fa	8019
7553_4#19.fa	7622_5#56.fa	8478
7553_4#1.fa	7622_4#23.fa	20833
7553_4#20.fa	7553_6#4.fa	13273
7553_4#21.fa	7622_2#27.fa	9100
7553_4#22.fa	7622_4#41.fa	16294
7553_4#23.fa	7001_3#4.fa	25587
7553_4#24.fa	7622_5#65.fa	10513
7553_4#25.fa	7622_4#23.fa	22029
7553_4#26.fa	7622_5#65.fa	8330
7553_4#27.fa	7553_5#76.fa	7020
7553_4#28.fa	7622_4#35.fa	10687
7553_4#29.fa	7622_4#41.fa	13795
7553_4#2.fa	7622_4#13.fa	14284
7553_4#30.fa	7622_5#65.fa	11338
7553_4#31.fa	7553_4#31.fa	15839
7553_4#32.fa	7622_4#36.fa	12683
7553_4#33.fa	7001_3#4.fa	19602
7553_4#34.fa	7622_4#36.fa	12659
7553_4#35.fa	7622_5#66.fa	8019
7553_4#36.fa	7553_4#36.fa	14081
7553_4#37.fa	7622_4#41.fa	15237
7553_4#38.fa	6999_6#14.fa	5682
7553_4#39.fa	7622_5#73.fa	6355
7553_4#3.fa	6925_2#94.fa	8713
7553_4#40.fa	7553_6#1.fa	12273
7553_4#41.fa	7622_5#65.fa	7226
7553_4#42.fa	7622_4#13.fa	8260
7553_4#44.fa	7622_4#36.fa	8604
7553_4#47.fa	7553_4#47.fa	13292
7553_4#48.fa	7553_4#48.fa	13139
7553_4#4.fa	7001_3#10.fa	7394
7553_4#5.fa	7001_3#4.fa	15799
7553_4#6.fa	7622_4#13.fa	9008
7553_4#7.fa	7553_6#4.fa	12740
7553_4#8.fa	7553_5#76.fa	13558
7553_4#9.fa	7622_5#66.fa	10661
7553_5#49.fa	7001_2#13.fa	7064
7553_5#50.fa	7622_4#23.fa	10704
7553_5#51.fa	7001_3#10.fa	7089
7553_5#52.fa	7622_5#65.fa	5385
7553_5#53.fa	7553_5#53.fa	7377
7553_5#54.fa	7622_5#77.fa	8185
7553_5#55.fa	7553_5#73.fa	7134
7553_5#56.fa	7001_3#4.fa	24734
7553_5#57.fa	7622_4#23.fa	25506
7553_5#58.fa	7001_3#4.fa	18360
7553_5#59.fa	7622_4#23.fa	30779
7553_5#60.fa	7553_5#76.fa	6243
7553_5#61.fa	7622_4#23.fa	14205
7553_5#62.fa	6952_4#22.fa	6776
7553_5#63.fa	7622_4#23.fa	13693
7553_5#64.fa	7622_5#77.fa	8942
7553_5#65.fa	7622_5#77.fa	12609
7553_5#66.fa	7001_2#13.fa	8950
7553_5#67.fa	7001_3#4.fa	18294
7553_5#68.fa	7622_5#77.fa	9736
7553_5#69.fa	7622_4#38.fa	10242
7553_5#70.fa	7553_6#1.fa	10543
7553_5#71.fa	7622_4#13.fa	15832
7553_5#72.fa	7553_6#1.fa	11518
7553_5#73.fa	7553_5#73.fa	8614
7553_5#74.fa	7622_4#23.fa	19570
7553_5#75.fa	7622_5#65.fa	7204
7553_5#76.fa	7553_5#76.fa	8107
7553_5#77.fa	7622_4#23.fa	17037
7553_5#78.fa	7553_6#1.fa	10097
7553_5#79.fa	7622_5#77.fa	8629
7553_5#80.fa	7622_5#65.fa	12982
7553_5#81.fa	7553_6#1.fa	13552
7553_5#82.fa	7622_5#65.fa	14272
7553_5#83.fa	7622_4#23.fa	19345
7553_5#84.fa	7001_3#4.fa	35115
7553_5#85.fa	7622_4#23.fa	19896
7553_5#86.fa	7622_4#39.fa	6347
7553_5#87.fa	7553_6#2.fa	9737
7553_5#88.fa	7001_2#13.fa	10500
7553_5#89.fa	7553_6#4.fa	16538
7553_5#90.fa	7622_4#13.fa	17730
7553_5#91.fa	7622_4#36.fa	14553
7553_5#92.fa	6999_5#5.fa	14724
7553_5#93.fa	7553_5#73.fa	10782
7553_5#94.fa	7622_4#23.fa	17670
7553_5#95.fa	6925_1#52.fa	8295
7553_5#96.fa	7553_5#76.fa	8336
7553_6#1.fa	7553_6#1.fa	5687
7553_6#2.fa	7553_6#2.fa	5915
7553_6#3.fa	7622_5#77.fa	5342
7553_6#4.fa	7553_6#4.fa	5595
7553_6#5.fa	6999_6#14.fa	4366
7553_6#6.fa	7622_4#23.fa	5449
7553_6#7.fa	7553_6#1.fa	3809
7553_6#8.fa	7622_2#29.fa	3618
7622_2#10.fa	7622_5#66.fa	2869
7622_2#11.fa	7622_2#11.fa	6135
7622_2#12.fa	7622_4#13.fa	5192
7622_2#13.fa	7553_4#26.fa	3757
7622_2#14.fa	7622_2#42.fa	7940
7622_2#15.fa	7622_4#36.fa	6451
7622_2#16.fa	7622_5#68.fa	5776
7622_2#17.fa	7553_5#73.fa	5394
7622_2#18.fa	6999_2#3.fa	5606
7622_2#19.fa	7622_5#56.fa	5053
7622_2#1.fa	7622_5#77.fa	5063
7622_2#20.fa	6999_5#21.fa	5046
7622_2#21.fa	6999_2#9.fa	2843
7622_2#22.fa	7622_2#22.fa	4558
7622_2#23.fa	7622_5#67.fa	6072
7622_2#24.fa	7622_4#21.fa	5204
7622_2#25.fa	7622_5#73.fa	4852
7622_2#26.fa	6925_2#88.fa	4233
7622_2#27.fa	7622_2#27.fa	4528
7622_2#28.fa	6925_2#94.fa	5253
7622_2#29.fa	7622_2#29.fa	4644
7622_2#2.fa	7001_3#4.fa	10034
7622_2#30.fa	7001_3#4.fa	9505
7622_2#31.fa	7622_2#31.fa	4662
7622_2#32.fa	7622_5#68.fa	7619
7622_2#33.fa	6925_1#52.fa	4645
7622_2#34.fa	7622_2#27.fa	4159
7622_2#35.fa	7622_5#77.fa	4266
7622_2#36.fa	7001_3#4.fa	9822
7622_2#37.fa	7001_3#4.fa	7451
7622_2#38.fa	7622_5#73.fa	5353
7622_2#39.fa	7622_5#77.fa	4511
7622_2#3.fa	7622_4#13.fa	5662
7622_2#40.fa	7622_4#35.fa	5730
7622_2#41.fa	7622_4#39.fa	6550
7622_2#42.fa	7622_2#42.fa	6598
7622_2#43.fa	7553_5#76.fa	4620
7622_2#44.fa	7553_4#26.fa	3907
7622_2#47.fa	7622_2#47.fa	0
7622_2#48.fa	7622_5#77.fa	5736
7622_2#4.fa	7622_5#96.fa	4376
7622_2#5.fa	6925_2#94.fa	5105
7622_2#6.fa	7622_5#96.fa	4101
7622_2#7.fa	7622_4#13.fa	5647
7622_2#8.fa	7622_4#29.fa	5061
7622_2#9.fa	7622_2#22.fa	5186
7622_3#49.fa	7553_5#76.fa	4276
7622_3#50.fa	7622_4#23.fa	7030
7622_3#51.fa	7622_4#13.fa	5497
7622_3#52.fa	7622_4#13.fa	8542
7622_3#53.fa	7622_3#53.fa	4081
7622_3#54.fa	7622_5#73.fa	4818
7622_3#55.fa	7622_5#65.fa	4342
7622_3#56.fa	7622_5#95.fa	4794
7622_3#57.fa	6999_1#5.fa	5189
7622_3#58.fa	7622_3#58.fa	4828
7622_3#59.fa	7622_5#96.fa	4464
7622_3#60.fa	7622_4#13.fa	7618
7622_3#62.fa	6999_4#16.fa	7344
7622_3#63.fa	7622_4#36.fa	7921
7622_3#64.fa	7622_2#22.fa	5002
7622_3#65.fa	7622_4#23.fa	9641
7622_3#66.fa	7001_2#13.fa	4746
7622_3#67.fa	7622_3#67.fa	5192
7622_3#68.fa	7553_6#1.fa	6650
7622_3#69.fa	7622_3#69.fa	8078
7622_3#70.fa	6999_2#18.fa	4702
7622_3#71.fa	7622_5#86.fa	4429
7622_3#72.fa	7622_3#72.fa	6591
7622_3#74.fa	7622_4#13.fa	8209
7622_3#75.fa	7553_6#4.fa	7231
7622_3#76.fa	7622_4#41.fa	7167
7622_3#78.fa	7622_2#47.fa	3084
7622_3#79.fa	7622_3#79.fa	4022
7622_3#80.fa	7001_1#6.fa	7680
7622_3#81.fa	7001_1#16.fa	4716
7622_3#82.fa	7622_4#21.fa	5225
7622_3#83.fa	7622_4#41.fa	6573
7622_3#84.fa	7622_3#84.fa	4391
7622_3#86.fa	6999_1#3.fa	4766
7622_3#87.fa	7622_4#23.fa	8838
7622_3#88.fa	7622_5#77.fa	4319
7622_3#89.fa	7001_2#13.fa	5480
7622_3#91.fa	7622_2#9.fa	3539
7622_3#92.fa	7622_4#21.fa	4882
7622_3#93.fa	7622_5#56.fa	4838
7622_3#94.fa	7553_5#64.fa	5045
7622_3#95.fa	7001_1#6.fa	8206
7622_3#96.fa	7622_5#77.fa	6170
7622_4#10.fa	7622_4#10.fa	0
7622_4#11.fa	7622_5#65.fa	5604
7622_4#12.fa	7001_2#13.fa	5614
7622_4#13.fa	7622_4#13.fa	7371
7622_4#14.fa	7622_4#23.fa	7567
7622_4#15.fa	6925_1#52.fa	4655
7622_4#16.fa	7622_5#96.fa	4152
7622_4#17.fa	7622_4#17.fa	4058
7622_4#18.fa	7622_5#96.fa	7785
7622_4#19.fa	7553_4#26.fa	4115
7622_4#1.fa	7622_4#1.fa	4300
7622_4#20.fa	7622_4#20.fa	4276
7622_4#21.fa	7622_4#21.fa	4223
7622_4#22.fa	7622_5#77.fa	4454
7622_4#23.fa	7622_4#23.fa	7656
7622_4#24.fa	7622_5#62.fa	5524
7622_4#25.fa	7553_6#4.fa	8842
7622_4#26.fa	7622_3#74.fa	7303
7622_4#27.fa	7622_4#35.fa	5250
7622_4#28.fa	7622_4#36.fa	7659
7622_4#29.fa	7622_4#29.fa	4884
7622_4#2.fa	7622_4#41.fa	7707
7622_4#31.fa	7622_4#31.fa	4093
7622_4#32.fa	6999_6#14.fa	3832
7622_4#33.fa	7622_5#77.fa	5210
7622_4#34.fa	7622_4#39.fa	4102
7622_4#35.fa	7622_4#35.fa	5690
7622_4#36.fa	7622_4#36.fa	6358
7622_4#37.fa	7622_5#56.fa	3649
7622_4#38.fa	7622_4#38.fa	4890
7622_4#39.fa	7622_4#39.fa	3866
7622_4#3.fa	7553_5#64.fa	3832
7622_4#40.fa	7622_5#77.fa	3954
7622_4#41.fa	7622_4#41.fa	5779
7622_4#42.fa	7622_4#42.fa	4571
7622_4#43.fa	7622_4#23.fa	7867
7622_4#44.fa	7622_4#44.fa	4773
7622_4#47.fa	7622_5#56.fa	4514
7622_4#48.fa	7622_5#96.fa	1563
7622_4#4.fa	7622_5#68.fa	5010
7622_4#5.fa	7622_4#1.fa	4723
7622_4#6.fa	7622_3#69.fa	7701
7622_4#7.fa	7622_5#65.fa	4448
7622_4#8.fa	7553_6#2.fa	5851
7622_4#9.fa	6999_1#22.fa	4025
7622_5#49.fa	7622_5#49.fa	3486
7622_5#50.fa	7622_5#77.fa	3915
7622_5#51.fa	7622_5#51.fa	3959
7622_5#52.fa	7622_5#52.fa	0
7622_5#53.fa	7553_6#4.fa	7713
7622_5#54.fa	7622_4#41.fa	7082
7622_5#55.fa	7622_4#21.fa	4806
7622_5#56.fa	7622_5#56.fa	4443
7622_5#57.fa	7622_5#65.fa	4037
7622_5#58.fa	6999_7#19.fa	4405
7622_5#59.fa	7553_6#4.fa	7442
7622_5#60.fa	6999_1#19.fa	6869
7622_5#61.fa	7622_5#61.fa	4817
7622_5#62.fa	7622_5#62.fa	4493
7622_5#63.fa	7622_5#77.fa	4485
7622_5#64.fa	7553_5#73.fa	5013
7622_5#65.fa	7622_5#65.fa	2567
7622_5#66.fa	7622_5#66.fa	3620
7622_5#67.fa	7622_5#67.fa	4544
7622_5#68.fa	7622_5#68.fa	4130
7622_5#70.fa	7001_3#10.fa	4237
7622_5#72.fa	6925_1#68.fa	5852
7622_5#73.fa	7622_5#73.fa	5256
7622_5#74.fa	6999_5#21.fa	4349
7622_5#75.fa	6999_2#9.fa	4724
7622_5#76.fa	7622_5#62.fa	5167
7622_5#77.fa	7622_5#77.fa	6675
7622_5#78.fa	7001_3#4.fa	9863
7622_5#79.fa	7622_4#38.fa	5418
7622_5#80.fa	7622_4#39.fa	3614
7622_5#81.fa	7553_6#1.fa	6259
7622_5#82.fa	7622_5#96.fa	3854
7622_5#83.fa	6999_6#14.fa	5162
7622_5#84.fa	7622_4#36.fa	3382
7622_5#85.fa	7622_4#13.fa	10698
7622_5#86.fa	6999_2#18.fa	4998
7622_5#87.fa	6999_1#22.fa	5482
