Taxon	PspA	Reads
6999_2#6.fa	7622_2#9.fa	6438
6999_2#7.fa	7622_2#34.fa	8045
6999_2#8.fa	7622_4#39.fa	10708
6999_2#9.fa	7553_6#8.fa	11213
6999_3#10.fa	7622_4#36.fa	7008
6999_3#11.fa	7622_2#26.fa	7311
6999_3#12.fa	6999_3#12.fa	7335
6999_3#13.fa	6999_3#13.fa	6074
6999_3#14.fa	6999_3#14.fa	7943
6999_3#15.fa	7622_4#36.fa	4066
6999_3#16.fa	7553_5#87.fa	7942
6999_3#17.fa	7622_3#96.fa	5557
6999_3#18.fa	6999_3#12.fa	6638
6999_3#19.fa	6999_7#18.fa	6823
6999_3#1.fa	6999_6#19.fa	7766
6999_3#20.fa	7622_5#92.fa	6750
6999_3#21.fa	7622_5#59.fa	7264
6999_3#22.fa	7622_5#92.fa	11565
6999_3#23.fa	7622_5#87.fa	7724
6999_3#2.fa	6999_6#19.fa	6826
6999_3#3.fa	7553_6#6.fa	6878
6999_3#4.fa	6999_3#4.fa	6267
6999_3#5.fa	7622_5#59.fa	7219
6999_3#6.fa	7622_4#47.fa	7688
6999_3#7.fa	6999_3#7.fa	7465
6999_3#8.fa	6999_6#3.fa	6791
6999_3#9.fa	6999_5#7.fa	5784
6999_4#10.fa	7622_5#87.fa	6944
6999_4#11.fa	7622_5#73.fa	6746
6999_4#12.fa	6999_7#18.fa	8017
6999_4#13.fa	7001_3#11.fa	7568
6999_4#14.fa	6999_3#12.fa	7300
6999_4#15.fa	7622_5#83.fa	7243
6999_4#16.fa	7622_4#36.fa	9397
6999_4#17.fa	7622_2#34.fa	11694
6999_4#18.fa	6999_3#13.fa	4833
6999_4#19.fa	6999_3#12.fa	6183
6999_4#1.fa	7622_4#39.fa	8322
6999_4#20.fa	6999_5#7.fa	6644
6999_4#21.fa	6999_6#19.fa	8102
6999_4#22.fa	7001_3#11.fa	14610
6999_4#23.fa	D	0
6999_4#2.fa	7622_3#96.fa	7413
6999_4#4.fa	6925_1#54.fa	5337
6999_4#6.fa	7622_4#38.fa	6187
6999_4#7.fa	6925_1#53.fa	7118
6999_4#8.fa	6999_4#8.fa	6209
6999_4#9.fa	7622_4#39.fa	7179
6999_5#10.fa	7622_3#93.fa	6747
6999_5#11.fa	D	0
6999_5#12.fa	6999_5#12.fa	6718
6999_5#13.fa	6999_7#18.fa	6957
6999_5#14.fa	7622_4#37.fa	7571
6999_5#15.fa	7622_5#65.fa	5380
6999_5#16.fa	6999_6#3.fa	6421
6999_5#17.fa	7553_4#6.fa	8867
6999_5#18.fa	7622_4#13.fa	7139
6999_5#19.fa	7553_4#6.fa	8864
6999_5#1.fa	7001_3#11.fa	13817
6999_5#20.fa	7622_3#96.fa	5495
6999_5#21.fa	6925_1#53.fa	7108
6999_5#22.fa	7622_5#50.fa	6282
6999_5#23.fa	6999_5#23.fa	9681
6999_5#2.fa	6999_5#2.fa	6866
6999_5#3.fa	7553_4#36.fa	9762
6999_5#4.fa	7622_4#36.fa	8777
6999_5#5.fa	7622_5#96.fa	9154
6999_5#6.fa	7622_3#82.fa	6132
6999_5#7.fa	7622_5#77.fa	6245
6999_5#8.fa	6999_5#8.fa	6673
6999_5#9.fa	7622_4#36.fa	8529
6999_6#10.fa	6999_6#10.fa	5208
6999_6#11.fa	6952_4#3.fa	5784
6999_6#12.fa	6952_4#3.fa	7401
6999_6#13.fa	7622_4#13.fa	7024
6999_6#14.fa	6999_4#15.fa	5874
6999_6#15.fa	6999_3#12.fa	5272
6999_6#16.fa	6999_6#16.fa	7144
6999_6#17.fa	7001_2#16.fa	5788
6999_6#18.fa	7622_4#31.fa	5492
6999_6#19.fa	6999_6#19.fa	6303
6999_6#1.fa	7622_5#96.fa	8849
6999_6#20.fa	7622_4#40.fa	4570
6999_6#21.fa	7553_6#8.fa	7994
6999_6#22.fa	6999_7#18.fa	5673
6999_6#23.fa	6999_3#13.fa	5553
6999_6#2.fa	7553_6#8.fa	9094
6999_6#3.fa	6999_6#3.fa	6638
6999_6#4.fa	7622_4#39.fa	8446
6999_6#5.fa	7622_4#35.fa	6164
6999_6#6.fa	6999_6#6.fa	4409
6999_6#7.fa	7622_4#39.fa	6846
6999_6#8.fa	7622_5#50.fa	5300
6999_6#9.fa	6999_6#19.fa	6766
6999_7#10.fa	6999_7#10.fa	5044
6999_7#11.fa	6999_5#2.fa	6357
6999_7#12.fa	7622_5#92.fa	7462
6999_7#13.fa	6952_4#18.fa	6308
6999_7#14.fa	7622_5#59.fa	7173
6999_7#15.fa	6999_3#12.fa	4843
6999_7#16.fa	7622_4#36.fa	7779
6999_7#17.fa	7622_4#39.fa	10331
6999_7#18.fa	7622_2#30.fa	21791
6999_7#19.fa	7622_4#39.fa	8305
6999_7#1.fa	6999_5#23.fa	8564
6999_7#20.fa	7622_5#67.fa	7399
6999_7#21.fa	7001_1#11.fa	7016
6999_7#22.fa	7001_1#21.fa	11334
6999_7#23.fa	7553_4#6.fa	7697
6999_7#2.fa	7622_4#39.fa	6912
6999_7#3.fa	6999_3#12.fa	6813
6999_7#4.fa	6999_6#19.fa	6399
6999_7#5.fa	6999_7#5.fa	5504
6999_7#6.fa	6999_6#10.fa	6233
6999_7#7.fa	7622_4#47.fa	7428
6999_7#8.fa	7622_2#8.fa	18664
6999_7#9.fa	7622_2#9.fa	6737
7001_1#10.fa	7622_5#59.fa	6357
7001_1#11.fa	7001_1#11.fa	8858
7001_1#12.fa	7622_5#83.fa	6737
7001_1#13.fa	7622_4#36.fa	6321
7001_1#14.fa	7622_4#36.fa	5597
7001_1#15.fa	7553_4#38.fa	6313
7001_1#16.fa	7553_6#8.fa	9618
7001_1#17.fa	7001_1#21.fa	8015
7001_1#18.fa	7622_4#39.fa	7332
7001_1#19.fa	7622_4#37.fa	7079
7001_1#1.fa	7622_5#92.fa	10176
7001_1#20.fa	7622_5#59.fa	8283
7001_1#21.fa	7001_1#21.fa	7022
7001_1#22.fa	7622_4#47.fa	7000
7001_1#23.fa	6999_3#13.fa	4975
7001_1#2.fa	7622_3#96.fa	6131
7001_1#3.fa	7622_4#39.fa	9064
7001_1#4.fa	7622_4#39.fa	9922
7001_1#5.fa	7622_4#36.fa	6680
7001_1#6.fa	7622_5#59.fa	7351
7001_1#7.fa	7622_5#92.fa	13382
7001_1#8.fa	7553_4#6.fa	11276
7001_1#9.fa	7622_2#42.fa	7125
7001_2#10.fa	7622_4#35.fa	5238
7001_2#11.fa	D	0
7001_2#12.fa	7622_5#50.fa	6373
7001_2#13.fa	7622_2#34.fa	7012
7001_2#14.fa	7622_5#59.fa	5996
7001_2#15.fa	7622_2#34.fa	5919
7001_2#16.fa	7001_2#16.fa	5949
7001_2#17.fa	7001_2#17.fa	6146
7001_2#18.fa	7622_4#47.fa	5681
7001_2#19.fa	7622_3#96.fa	5134
7001_2#1.fa	7622_5#92.fa	9483
7001_2#20.fa	7553_4#38.fa	6222
7001_2#21.fa	7622_2#37.fa	6483
7001_2#22.fa	7622_4#21.fa	4528
7001_2#23.fa	7622_2#37.fa	7982
7001_2#2.fa	6999_5#15.fa	5729
7001_2#3.fa	7622_4#40.fa	5298
7001_2#4.fa	7001_2#4.fa	5132
7001_2#5.fa	7553_6#8.fa	5287
7001_2#6.fa	7001_2#6.fa	5415
7001_2#7.fa	7622_4#38.fa	6556
7001_2#8.fa	7622_2#34.fa	5570
7001_2#9.fa	7001_2#9.fa	4377
7001_3#10.fa	7622_5#87.fa	6201
7001_3#11.fa	7001_3#11.fa	10007
7001_3#12.fa	7622_4#39.fa	6251
7001_3#13.fa	7622_4#39.fa	6392
7001_3#14.fa	7622_2#30.fa	5548
7001_3#15.fa	7622_4#47.fa	6883
7001_3#16.fa	6925_1#53.fa	6066
7001_3#17.fa	7001_3#17.fa	6002
7001_3#18.fa	7622_4#39.fa	7913
7001_3#19.fa	7622_4#39.fa	7140
7001_3#1.fa	7622_5#59.fa	6716
7001_3#20.fa	7622_4#36.fa	6353
7001_3#21.fa	7622_2#37.fa	7056
7001_3#22.fa	7622_5#87.fa	6871
7001_3#2.fa	7553_5#87.fa	8114
7001_3#3.fa	7622_5#85.fa	6504
7001_3#4.fa	7622_2#37.fa	8174
7001_3#5.fa	7622_5#59.fa	7183
7001_3#6.fa	7622_5#87.fa	6857
7001_3#7.fa	7622_5#73.fa	9450
7001_3#8.fa	7622_5#73.fa	9307
7001_3#9.fa	7622_4#36.fa	6968
7553_4#10.fa	7622_5#54.fa	5273
7553_4#11.fa	7622_4#47.fa	8568
7553_4#12.fa	7553_5#87.fa	13791
7553_4#13.fa	7622_5#87.fa	5288
7553_4#14.fa	7622_2#42.fa	4954
7553_4#15.fa	6999_3#12.fa	5264
7553_4#16.fa	7622_5#83.fa	6338
7553_4#17.fa	7553_4#6.fa	7818
7553_4#18.fa	7622_5#50.fa	6135
7553_4#19.fa	7622_5#79.fa	5835
7553_4#1.fa	7622_3#87.fa	9203
7553_4#20.fa	7622_4#28.fa	7420
7553_4#21.fa	7622_2#34.fa	11186
7553_4#22.fa	7622_3#82.fa	8318
7553_4#23.fa	7622_2#37.fa	11562
7553_4#24.fa	7622_4#39.fa	10285
7553_4#25.fa	7622_4#28.fa	11940
7553_4#26.fa	7622_4#39.fa	7704
7553_4#27.fa	7553_5#87.fa	6473
7553_4#28.fa	7553_4#28.fa	6771
7553_4#29.fa	7622_4#41.fa	7188
7553_4#2.fa	7553_5#90.fa	9664
7553_4#30.fa	7622_4#39.fa	8655
7553_4#31.fa	6952_4#6.fa	9058
7553_4#32.fa	7622_4#36.fa	7176
7553_4#33.fa	7622_2#36.fa	7264
7553_4#34.fa	7622_5#59.fa	7500
7553_4#35.fa	7622_5#87.fa	6903
7553_4#36.fa	7553_4#36.fa	10393
7553_4#37.fa	7622_3#87.fa	7360
7553_4#38.fa	7553_4#38.fa	4114
7553_4#39.fa	7622_5#73.fa	5807
7553_4#3.fa	6925_2#94.fa	5873
7553_4#40.fa	6999_6#11.fa	5931
7553_4#41.fa	7622_5#65.fa	5707
7553_4#42.fa	7553_4#42.fa	6239
7553_4#44.fa	D	0
7553_4#47.fa	7622_5#87.fa	10855
7553_4#48.fa	7622_5#83.fa	9998
7553_4#4.fa	7622_5#87.fa	5767
7553_4#5.fa	7622_2#37.fa	7402
7553_4#6.fa	7553_4#6.fa	7496
7553_4#7.fa	7553_4#7.fa	6126
7553_4#8.fa	7553_5#87.fa	12486
7553_4#9.fa	6925_1#53.fa	8673
7553_5#49.fa	7622_2#34.fa	6059
7553_5#50.fa	7622_3#87.fa	4960
7553_5#51.fa	7622_5#87.fa	5680
7553_5#52.fa	7622_4#39.fa	5547
7553_5#53.fa	7622_4#40.fa	5235
7553_5#54.fa	7622_3#96.fa	4625
7553_5#55.fa	6999_3#4.fa	4173
7553_5#56.fa	7622_2#36.fa	9317
7553_5#57.fa	7553_5#57.fa	13619
7553_5#58.fa	7622_2#37.fa	6084
7553_5#59.fa	7622_5#59.fa	16424
7553_5#60.fa	7553_5#87.fa	5542
7553_5#61.fa	7622_5#59.fa	7599
7553_5#62.fa	6930_8#9.fa	10809
7553_5#63.fa	7622_5#59.fa	7267
7553_5#64.fa	7622_5#87.fa	6586
7553_5#65.fa	7553_5#65.fa	6411
7553_5#66.fa	7622_2#34.fa	7286
7553_5#67.fa	7622_2#36.fa	6830
7553_5#68.fa	7622_3#96.fa	5721
7553_5#69.fa	7553_5#90.fa	6039
7553_5#70.fa	7553_6#7.fa	7576
7553_5#71.fa	7553_5#71.fa	7518
7553_5#72.fa	D	0
7553_5#73.fa	7553_5#93.fa	5510
7553_5#74.fa	7622_5#59.fa	7564
7553_5#75.fa	7622_4#39.fa	6106
7553_5#76.fa	7553_5#87.fa	7279
7553_5#77.fa	7622_5#59.fa	8714
7553_5#78.fa	7553_6#7.fa	6742
7553_5#79.fa	7622_5#50.fa	6083
7553_5#80.fa	7622_4#39.fa	12208
7553_5#81.fa	7553_6#7.fa	9305
7553_5#82.fa	7622_4#39.fa	12717
7553_5#83.fa	7622_5#59.fa	9600
7553_5#84.fa	7553_5#84.fa	13624
7553_5#85.fa	6999_7#4.fa	10379
7553_5#86.fa	7622_4#39.fa	5321
7553_5#87.fa	7553_5#87.fa	5665
7553_5#88.fa	7622_2#34.fa	10120
7553_5#89.fa	7622_2#24.fa	8277
7553_5#90.fa	7553_5#90.fa	9591
7553_5#91.fa	7622_4#36.fa	8030
7553_5#92.fa	7622_4#47.fa	6047
7553_5#93.fa	7553_5#93.fa	6472
7553_5#94.fa	7622_3#87.fa	7316
7553_5#95.fa	7553_5#95.fa	6944
7553_5#96.fa	7553_5#87.fa	8189
7553_6#1.fa	6925_1#53.fa	3366
7553_6#2.fa	7553_5#87.fa	3539
7553_6#3.fa	7622_3#96.fa	2536
7553_6#4.fa	7622_5#59.fa	3061
7553_6#5.fa	7622_5#83.fa	3128
7553_6#6.fa	7553_6#6.fa	2573
7553_6#7.fa	7553_6#7.fa	2471
7553_6#8.fa	7553_6#8.fa	3898
7622_2#10.fa	6925_1#53.fa	2426
7622_2#11.fa	7622_5#59.fa	4033
7622_2#12.fa	7622_5#73.fa	4278
7622_2#13.fa	7622_4#39.fa	3357
7622_2#14.fa	7622_2#42.fa	4302
7622_2#15.fa	7622_5#83.fa	3708
7622_2#16.fa	7001_3#11.fa	6913
7622_2#17.fa	6999_3#4.fa	3124
7622_2#18.fa	7622_4#47.fa	4125
7622_2#19.fa	7622_4#47.fa	3204
7622_2#1.fa	7622_5#50.fa	2862
7622_2#20.fa	7622_2#20.fa	3489
7622_2#21.fa	7622_2#21.fa	4137
7622_2#22.fa	7622_2#9.fa	3845
7622_2#23.fa	7622_5#67.fa	4877
7622_2#24.fa	7622_3#87.fa	3656
7622_2#25.fa	7622_5#73.fa	5246
7622_2#26.fa	7622_2#26.fa	4273
7622_2#27.fa	7622_2#34.fa	4453
7622_2#28.fa	6925_2#94.fa	3847
7622_2#29.fa	7553_6#8.fa	5041
7622_2#2.fa	7622_2#37.fa	3949
7622_2#30.fa	7622_2#30.fa	3559
7622_2#31.fa	7622_5#85.fa	3457
7622_2#32.fa	7001_3#11.fa	9434
7622_2#33.fa	7553_5#95.fa	4314
7622_2#34.fa	7622_2#34.fa	3864
7622_2#35.fa	6999_5#2.fa	2623
7622_2#36.fa	7622_2#36.fa	0
7622_2#37.fa	7622_2#37.fa	3189
7622_2#38.fa	7622_5#73.fa	5219
7622_2#39.fa	7622_4#40.fa	3037
7622_2#3.fa	7622_3#91.fa	4493
7622_2#40.fa	6999_4#8.fa	2615
7622_2#41.fa	7622_3#82.fa	3295
7622_2#42.fa	7622_2#42.fa	4259
7622_2#43.fa	7553_5#87.fa	3911
7622_2#44.fa	7622_4#39.fa	4198
7622_2#47.fa	7622_2#47.fa	0
7622_2#48.fa	7622_5#50.fa	4084
7622_2#4.fa	7622_4#16.fa	4670
7622_2#5.fa	6925_2#94.fa	3456
7622_2#6.fa	7622_4#16.fa	4639
7622_2#7.fa	7622_2#38.fa	5726
7622_2#8.fa	7622_5#87.fa	4253
7622_2#9.fa	7622_2#9.fa	4669
7622_3#49.fa	7553_5#87.fa	4118
7622_3#50.fa	7622_5#59.fa	4053
7622_3#51.fa	7622_5#73.fa	5277
7622_3#52.fa	7622_5#85.fa	4447
7622_3#53.fa	7553_6#8.fa	4693
7622_3#54.fa	7622_3#54.fa	2973
7622_3#55.fa	7622_4#39.fa	4816
7622_3#56.fa	7622_4#39.fa	3641
7622_3#57.fa	7622_2#9.fa	4800
7622_3#58.fa	7622_5#85.fa	4685
7622_3#59.fa	7622_4#16.fa	5144
7622_3#60.fa	6999_3#13.fa	3761
7622_3#62.fa	7622_5#59.fa	4591
7622_3#63.fa	7622_5#59.fa	4618
7622_3#64.fa	7622_5#79.fa	3505
7622_3#65.fa	7622_5#59.fa	5311
7622_3#66.fa	7001_2#15.fa	3989
7622_3#67.fa	6925_1#53.fa	4771
7622_3#68.fa	7622_4#47.fa	3880
7622_3#69.fa	7622_4#39.fa	4613
7622_3#70.fa	7001_2#9.fa	3159
7622_3#71.fa	7001_2#9.fa	3052
7622_3#72.fa	7622_4#36.fa	3866
7622_3#74.fa	7622_5#85.fa	4379
7622_3#75.fa	7622_5#59.fa	4401
7622_3#76.fa	7622_4#41.fa	3536
7622_3#78.fa	7622_3#78.fa	0
7622_3#79.fa	7622_3#79.fa	4722
7622_3#80.fa	7622_5#59.fa	5053
7622_3#81.fa	7553_6#8.fa	6040
7622_3#82.fa	7622_4#21.fa	4098
7622_3#83.fa	7622_4#35.fa	3886
7622_3#84.fa	7622_3#84.fa	2989
7622_3#86.fa	7622_3#86.fa	5457
7622_3#87.fa	7622_3#87.fa	4015
7622_3#88.fa	7622_4#40.fa	2976
7622_3#89.fa	7622_2#34.fa	5166
7622_3#91.fa	7622_3#91.fa	3097
7622_3#92.fa	7622_4#21.fa	3816
7622_3#93.fa	7622_3#93.fa	3240
7622_3#94.fa	7622_4#40.fa	4159
7622_3#95.fa	7622_5#59.fa	5252
7622_3#96.fa	7622_4#40.fa	3635
7622_4#10.fa	6930_8#9.fa	7188
7622_4#11.fa	7622_4#39.fa	5715
7622_4#12.fa	7622_2#34.fa	4812
7622_4#13.fa	7622_4#13.fa	3978
7622_4#14.fa	7622_5#59.fa	4664
7622_4#15.fa	7553_5#95.fa	4055
7622_4#16.fa	7622_4#16.fa	4926
7622_4#17.fa	7622_4#39.fa	4350
7622_4#18.fa	7622_4#16.fa	8582
7622_4#19.fa	7622_4#39.fa	4489
7622_4#1.fa	6925_1#53.fa	3741
7622_4#20.fa	7622_5#50.fa	3301
7622_4#21.fa	7622_4#21.fa	3516
7622_4#22.fa	7622_5#50.fa	2826
7622_4#23.fa	7622_5#59.fa	4493
7622_4#24.fa	7553_6#8.fa	6213
7622_4#25.fa	7622_3#87.fa	3987
7622_4#26.fa	7622_5#85.fa	4154
7622_4#27.fa	7622_4#35.fa	3219
7622_4#28.fa	7622_5#59.fa	4187
7622_4#29.fa	7622_2#8.fa	4063
7622_4#2.fa	7622_4#35.fa	4596
7622_4#31.fa	7622_4#31.fa	3678
7622_4#32.fa	7622_5#83.fa	2940
7622_4#33.fa	7622_4#40.fa	3315
7622_4#34.fa	7622_4#39.fa	3685
7622_4#35.fa	7622_4#35.fa	3797
7622_4#36.fa	7622_4#36.fa	3767
7622_4#37.fa	7622_4#37.fa	2738
7622_4#38.fa	7622_4#38.fa	3560
7622_4#39.fa	7622_4#39.fa	3115
7622_4#3.fa	7622_4#40.fa	3191
7622_4#40.fa	7622_4#40.fa	2812
7622_4#41.fa	7622_4#41.fa	3026
7622_4#42.fa	6952_4#6.fa	3640
7622_4#43.fa	6999_7#4.fa	4463
7622_4#44.fa	7622_5#79.fa	3173
7622_4#47.fa	7622_4#47.fa	2958
7622_4#48.fa	7622_5#96.fa	3223
7622_4#4.fa	7001_3#11.fa	6025
7622_4#5.fa	6925_1#53.fa	3993
7622_4#6.fa	7622_5#54.fa	3272
7622_4#7.fa	7622_4#34.fa	4019
7622_4#8.fa	7622_4#8.fa	3669
7622_4#9.fa	7622_2#9.fa	3762
7622_5#49.fa	7622_5#83.fa	3039
7622_5#50.fa	7622_5#50.fa	3010
7622_5#51.fa	6925_2#94.fa	3086
7622_5#52.fa	7622_3#79.fa	4044
7622_5#53.fa	7622_5#59.fa	4265
7622_5#54.fa	6999_3#13.fa	3491
7622_5#55.fa	7622_5#55.fa	3424
7622_5#56.fa	7622_4#47.fa	3436
7622_5#57.fa	7622_4#39.fa	4044
7622_5#58.fa	7622_4#39.fa	4571
7622_5#59.fa	7622_5#59.fa	4413
7622_5#60.fa	7622_5#92.fa	2554
7622_5#61.fa	7622_4#39.fa	3972
7622_5#62.fa	7553_6#8.fa	4086
7622_5#63.fa	6925_1#53.fa	2533
7622_5#64.fa	7622_5#88.fa	2635
7622_5#65.fa	7622_5#65.fa	2145
7622_5#66.fa	6925_1#53.fa	3343
7622_5#67.fa	7622_5#67.fa	4910
7622_5#68.fa	7001_3#11.fa	5161
7622_5#70.fa	7622_5#70.fa	2993
7622_5#72.fa	6925_1#68.fa	3714
7622_5#73.fa	7622_5#73.fa	5213
7622_5#74.fa	7622_5#74.fa	3209
7622_5#75.fa	7553_6#8.fa	4316
7622_5#76.fa	7553_6#8.fa	4880
7622_5#77.fa	7622_5#77.fa	3692
7622_5#78.fa	7622_2#37.fa	3684
7622_5#79.fa	7622_4#38.fa	3620
7622_5#80.fa	7622_5#59.fa	4377
7622_5#81.fa	6999_6#11.fa	3179
7622_5#82.fa	7622_5#96.fa	4167
7622_5#83.fa	7622_5#83.fa	3591
7622_5#84.fa	7622_5#84.fa	1889
7622_5#85.fa	7622_5#85.fa	5583
7622_5#86.fa	7001_2#9.fa	3339
7622_5#87.fa	6925_1#53.fa	4431
7622_5#88.fa	7622_4#41.fa	3898
7622_5#89.fa	7622_5#50.fa	4029
