File	Length	n_contigs	N50	n_CDS
5366_5#12.contigs_velvet.fa	2062225	83	37245	2002
6925_8#12.contigs_velvet.fa	2143943	80	41973	2088
6983_4#76.contigs_velvet.fa	2150217	76	63598	2115
27689_1#100.contigs_velvet.fa	2136693	43	118571	2088
27536_3#183.contigs_velvet.fa	2164306	21	218619	2108
6710_7#13.contigs_velvet.fa	2069153	64	61802	1993
27644_5#30.contigs_velvet.fa	2079566	33	143933	2003
7068_4#6.contigs_velvet.fa	2106114	55	62593	2052
27425_7#171.contigs_velvet.fa	2807895	539	88235	2770
27463_3#83.contigs_velvet.fa	2155762	25	284013	2122
5366_6#6.contigs_velvet.fa	1922474	124	32347	1911
6949_2#13.contigs_velvet.fa	2047203	67	60760	1977
27644_5#171.contigs_velvet.fa	2127958	12	726030	2086
28157_3#6.contigs_velvet.fa	2099312	33	289770	2058
28354_1#18.contigs_velvet.fa	2156655	21	580780	2111
6673_8#18.contigs_velvet.fa	2083785	61	70892	2038
7011_4#21.contigs_velvet.fa	2083773	60	66759	2040
28042_1#180.contigs_velvet.fa	2009617	14	334468	1972
6972_2#1.contigs_velvet.fa	2148454	64	63382	2099
27463_3#128.contigs_velvet.fa	2128861	9	344348	2086
27689_4#51.contigs_velvet.fa	2252754	43	111590	2226
7011_3#15.contigs_velvet.fa	2117533	63	67876	2091
27689_3#153.contigs_velvet.fa	2063416	17	304357	2012
7004_5#5.contigs_velvet.fa	2053812	88	48833	1968
28157_2#99.contigs_velvet.fa	2117944	29	118795	2073
27958_1#75.contigs_velvet.fa	2414931	302	166802	2447
28157_3#171.contigs_velvet.fa	2094858	42	221691	2048
6730_5#11.contigs_velvet.fa	2128347	74	57554	2072
28157_2#170.contigs_velvet.fa	2161827	30	260071	2120
6983_7#59.contigs_velvet.fa	2134672	68	55488	2104
27689_2#30.contigs_velvet.fa	2121884	29	97814	2073
7004_6#40.contigs_velvet.fa	2116226	66	73563	2096
28354_1#38.contigs_velvet.fa	2193092	27	310741	2185
27644_5#12.contigs_velvet.fa	2098587	30	118522	2047
6805_5#2.contigs_velvet.fa	2127312	62	99277	2095
6805_7#21.contigs_velvet.fa	2063644	52	68968	2000
27958_1#157.contigs_velvet.fa	2131149	34	135801	2115
6983_7#55.contigs_velvet.fa	2163197	77	59499	2144
27689_2#156.contigs_velvet.fa	2144252	33	145218	2054
27689_1#55.contigs_velvet.fa	2161667	34	127159	2137
6938_6#15.contigs_velvet.fa	2080926	73	61198	2039
27754_1#126.contigs_velvet.fa	2078350	20	369327	2031
6949_4#3.contigs_velvet.fa	2088699	59	62556	2009
6593_5#6.contigs_velvet.fa	2095655	56	74432	2016
6631_5#22.contigs_velvet.fa	2078289	61	69269	2028
28157_2#10.contigs_velvet.fa	2117975	31	112764	2074
27425_7#159.contigs_velvet.fa	2095036	18	215657	2051
6775_2#7.contigs_velvet.fa	2086672	92	44743	2046
7038_4#6.contigs_velvet.fa	2153439	64	63153	2113
7054_6#8.contigs_velvet.fa	2150621	71	62446	2105
6823_2#11.contigs_velvet.fa	2144139	61	73001	2053
27463_4#13.contigs_velvet.fa	2122616	31	131533	2073
6983_8#74.contigs_velvet.fa	2109174	64	59553	2068
6673_8#4.contigs_velvet.fa	2142609	51	113437	2086
27689_1#61.contigs_velvet.fa	2102389	30	165027	2039
7004_7#55.contigs_velvet.fa	2093959	75	49689	2031
28157_3#37.contigs_velvet.fa	2178217	39	135208	2148
27689_4#47.contigs_velvet.fa	2093135	32	242540	2047
28157_2#4.contigs_velvet.fa	2116986	32	107355	2072
6949_3#21.contigs_velvet.fa	2155172	52	80208	2093
27425_7#11.contigs_velvet.fa	2256772	46	111665	2231
27644_5#79.contigs_velvet.fa	2387442	354	168021	2397
27535_1#51.contigs_velvet.fa	2080403	26	126388	2026
6949_2#23.contigs_velvet.fa	2095052	53	118060	2026
6949_4#6.contigs_velvet.fa	2104925	63	72915	2070
27689_1#46.contigs_velvet.fa	2152505	19	248539	2062
7068_4#2.contigs_velvet.fa	2035049	63	57324	1952
6972_5#24.contigs_velvet.fa	2106296	60	77165	2048
6949_2#4.contigs_velvet.fa	2034162	78	53930	1961
6753_3#10.contigs_velvet.fa	2077450	63	67555	1996
28048_1#90.contigs_velvet.fa	2151212	20	287844	2089
27425_7#107.contigs_velvet.fa	2149251	35	141792	2085
7011_3#7.contigs_velvet.fa	2075117	53	74235	2004
6925_4#4.contigs_velvet.fa	2170034	47	104395	2098
6775_1#7.contigs_velvet.fa	2176038	53	75795	2151
28157_1#92.contigs_velvet.fa	2141137	28	184081	2114
27644_5#109.contigs_velvet.fa	5290226	6919	1835	5836
6714_8#24.contigs_velvet.fa	2091667	139	33526	2033
7011_4#17.contigs_velvet.fa	2054158	72	56359	1975
7004_5#19.contigs_velvet.fa	2023358	42	60960	1976
6736_4#9.contigs_velvet.fa	2037759	63	76340	1999
7011_3#13.contigs_velvet.fa	2010362	138	29703	1977
6805_7#2.contigs_velvet.fa	2121970	45	80998	2070
27536_3#156.contigs_velvet.fa	2135251	24	258295	2084
28157_1#84.contigs_velvet.fa	2198802	95	135157	2158
27958_1#114.contigs_velvet.fa	2972203	1627	8602	3495
28354_1#103.contigs_velvet.fa	2145026	15	288873	2138
6731_1#5.contigs_velvet.fa	2037949	72	50295	1983
28049_1#128.contigs_velvet.fa	3385495	3034	1750	3717
28354_1#72.contigs_velvet.fa	2119098	34	138439	2079
27689_4#145.contigs_velvet.fa	2033046	26	178547	1989
7004_5#15.contigs_velvet.fa	2065354	50	82294	2012
6805_3#12.contigs_velvet.fa	2094281	50	89693	2021
7068_4#14.contigs_velvet.fa	2043422	66	55073	1977
6807_1#17.contigs_velvet.fa	2078855	60	72522	2023
27536_3#169.contigs_velvet.fa	2111208	20	464856	2073
28157_2#6.contigs_velvet.fa	2178693	23	295432	2179
7054_6#21.contigs_velvet.fa	2098465	50	64134	2038
6630_2#11.contigs_velvet.fa	2143347	143	28424	2078
7004_8#74.contigs_velvet.fa	2051017	41	74915	1983
6736_5#19.contigs_velvet.fa	2184085	100	88913	2119
7054_4#13.contigs_velvet.fa	2077285	43	83932	2043
28157_1#34.contigs_velvet.fa	2133518	31	150950	2095
6983_7#61.contigs_velvet.fa	2095408	87	45094	2057
6823_5#23.contigs_velvet.fa	2103105	61	91996	2088
28042_1#42.contigs_velvet.fa	2162836	46	125305	2121
6736_7#23.contigs_velvet.fa	2077378	69	56417	2018
6630_4#3.contigs_velvet.fa	2099923	85	45897	2065
27536_3#139.contigs_velvet.fa	2163113	49	145295	2103
7011_3#17.contigs_velvet.fa	2018202	52	72866	1956
28042_1#190.contigs_velvet.fa	2258897	44	148836	2235
27689_3#29.contigs_velvet.fa	2061456	28	146471	1995
28157_2#43.contigs_velvet.fa	2077155	29	118556	2021
27958_1#39.contigs_velvet.fa	2099279	22	262830	2045
6753_3#4.contigs_velvet.fa	2097284	102	42965	2068
6714_8#13.contigs_velvet.fa	2129902	163	28626	2075
27425_7#184.contigs_velvet.fa	2802871	1365	19707	3162
6925_6#2.contigs_velvet.fa	2134351	59	99389	2106
28354_1#113.contigs_velvet.fa	2109476	49	242176	2071
28157_2#74.contigs_velvet.fa	2135521	33	128641	2093
7038_7#22.contigs_velvet.fa	2101164	79	52295	2062
28049_1#108.contigs_velvet.fa	2124761	12	457707	2080
6983_5#2.contigs_velvet.fa	2097647	48	98479	2038
27644_5#132.contigs_velvet.fa	2998781	468	128795	3183
27754_1#58.contigs_velvet.fa	2249590	45	130957	2225
6673_8#10.contigs_velvet.fa	2152711	60	62925	2046
6753_2#10.contigs_velvet.fa	2066148	63	67840	2016
27958_1#189.contigs_velvet.fa	2124797	27	143175	2084
28157_3#32.contigs_velvet.fa	2218576	124	115574	2191
28042_1#51.contigs_velvet.fa	5629460	6748	1754	6074
6736_5#13.contigs_velvet.fa	2147682	62	64298	2074
7004_5#16.contigs_velvet.fa	2012742	50	77740	1972
7054_6#7.contigs_velvet.fa	2163254	51	75016	2142
27958_1#9.contigs_velvet.fa	2169946	14	467954	2145
27536_3#1.contigs_velvet.fa	2252881	37	188961	2235
27630_2#35.contigs_velvet.fa	2141155	16	1239547	2098
6805_4#1.contigs_velvet.fa	2114273	46	74043	2016
7054_4#2.contigs_velvet.fa	2079600	61	63019	2016
6730_1#11.contigs_velvet.fa	2100414	67	59764	2012
27425_7#26.contigs_velvet.fa	2124879	9	628007	2083
6899_4#4.contigs_velvet.fa	2182270	76	53837	2114
6631_3#20.contigs_velvet.fa	2135396	72	58484	2043
28157_1#113.contigs_velvet.fa	2182815	35	111185	2181
27689_1#189.contigs_velvet.fa	2107205	22	250374	2068
28157_1#123.contigs_velvet.fa	2078175	21	201392	2017
6775_2#13.contigs_velvet.fa	2038228	74	55738	1968
6630_4#18.contigs_velvet.fa	2091799	65	59827	2036
27535_1#89.contigs_velvet.fa	2159098	40	103618	2071
28048_1#35.contigs_velvet.fa	4447933	7982	740	5099
6899_7#3.contigs_velvet.fa	2078119	94	40929	2019
27536_3#111.contigs_velvet.fa	2133705	21	206861	2083
7038_4#3.contigs_velvet.fa	2063599	58	81668	1990
6972_3#9.contigs_velvet.fa	2062319	54	97310	2021
27644_5#84.contigs_velvet.fa	2108532	21	403103	2081
28354_1#110.contigs_velvet.fa	2169128	22	565128	2133
28042_1#112.contigs_velvet.fa	2133561	37	108425	2080
28157_2#95.contigs_velvet.fa	2180326	31	104105	2178
6807_2#23.contigs_velvet.fa	2039725	58	59397	1970
6710_6#10.contigs_velvet.fa	2106600	44	68711	2053
6630_1#21.contigs_velvet.fa	2127668	74	64148	2071
6823_3#18.contigs_velvet.fa	2032036	75	54250	1946
6823_2#3.contigs_velvet.fa	2106429	55	63809	2040
5381_3#4.contigs_velvet.fa	2180950	272	15804	2112
28157_3#153.contigs_velvet.fa	2127635	10	628098	2083
27958_1#136.contigs_velvet.fa	2713075	1161	40865	3125
27536_3#81.contigs_velvet.fa	2098162	26	117354	2045
27425_7#48.contigs_velvet.fa	2082807	29	148273	1998
6925_8#2.contigs_velvet.fa	2110588	63	71731	2075
28157_2#77.contigs_velvet.fa	2122266	20	204599	2077
6805_4#3.contigs_velvet.fa	2045254	52	89283	1972
28042_1#14.contigs_velvet.fa	2195705	65	106654	2187
27536_3#68.contigs_velvet.fa	2068889	21	449491	2013
6938_7#11.contigs_velvet.fa	2174392	60	63348	2109
27689_4#186.contigs_velvet.fa	2132858	41	132350	2113
6753_1#15.contigs_velvet.fa	2102134	44	105471	2047
27535_1#67.contigs_velvet.fa	2211501	40	117571	2191
27630_2#95.contigs_velvet.fa	2129473	35	135873	2113
28042_1#61.contigs_velvet.fa	2077400	33	117501	2026
27536_3#71.contigs_velvet.fa	2043560	20	136144	1987
27689_1#69.contigs_velvet.fa	2117395	34	112750	2075
7011_6#23.contigs_velvet.fa	2051619	98	54935	1992
27689_3#34.contigs_velvet.fa	2193234	33	144716	2135
6731_4#3.contigs_velvet.fa	2043214	54	71797	1990
27689_4#130.contigs_velvet.fa	2125610	11	633842	2085
27644_5#82.contigs_velvet.fa	2119475	33	108425	2074
5366_7#10.contigs_velvet.fa	2001168	214	19631	1949
27463_4#84.contigs_velvet.fa	2042379	20	207109	1990
7038_5#24.contigs_velvet.fa	2121381	60	69126	2097
7038_4#20.contigs_velvet.fa	2085846	65	57432	2012
27958_1#141.contigs_velvet.fa	2136283	42	178524	2126
28042_1#45.contigs_velvet.fa	3100408	546	169303	3263
6673_8#17.contigs_velvet.fa	2146687	67	49041	2107
5737_7#2.contigs_velvet.fa	2077883	192	23128	2020
28157_2#71.contigs_velvet.fa	2120381	33	116479	2083
27644_5#179.contigs_velvet.fa	2192739	40	213539	2167
27958_1#112.contigs_velvet.fa	2103155	23	350516	2046
27463_4#46.contigs_velvet.fa	2031203	15	512423	1990
28354_1#120.contigs_velvet.fa	2095445	19	512113	2054
28049_1#142.contigs_velvet.fa	2640766	481	98997	2677
6680_6#6.contigs_velvet.fa	2076601	56	64709	2019
6925_8#22.contigs_velvet.fa	2177637	59	83149	2137
6805_3#22.contigs_velvet.fa	2099980	47	87133	2048
6630_3#20.contigs_velvet.fa	2114202	115	33193	2056
27958_1#149.contigs_velvet.fa	2116663	33	118620	2074
29370_2#9.contigs_velvet.fa	2179348	43	249597	2145
6983_4#86.contigs_velvet.fa	2068056	78	50877	1981
6805_3#21.contigs_velvet.fa	2048016	76	59545	1970
6680_4#3.contigs_velvet.fa	2136451	46	89828	2061
6938_7#9.contigs_velvet.fa	2121604	49	91481	2091
28049_1#102.contigs_velvet.fa	2078501	26	194786	1986
6871_2#14.contigs_velvet.fa	2081298	74	48053	1999
7011_4#16.contigs_velvet.fa	2173706	57	74584	2166
6631_3#17.contigs_velvet.fa	2058972	60	61582	2004
27859_1#66.contigs_velvet.fa	2071251	22	579293	2012
6731_4#4.contigs_velvet.fa	2090539	71	51843	2027
27754_1#175.contigs_velvet.fa	2264064	27	377035	2260
27958_1#190.contigs_velvet.fa	2075107	17	288037	2026
27958_1#17.contigs_velvet.fa	2152342	20	297590	2066
6753_4#2.contigs_velvet.fa	2042705	75	52271	1964
27689_1#54.contigs_velvet.fa	2006683	18	232724	1970
7004_8#89.contigs_velvet.fa	2140682	39	93067	2121
6938_8#11.contigs_velvet.fa	2159825	89	53155	2131
7004_8#87.contigs_velvet.fa	2150624	65	63462	2135
6949_2#8.contigs_velvet.fa	2087721	73	96123	2010
7038_8#42.contigs_velvet.fa	2072559	67	55525	2005
28157_1#145.contigs_velvet.fa	2096033	18	252590	2055
7038_6#2.contigs_velvet.fa	2114125	71	72994	2074
6710_8#5.contigs_velvet.fa	2082773	70	52646	2014
28157_1#86.contigs_velvet.fa	2197656	46	405325	2162
28049_1#147.contigs_velvet.fa	2068019	14	579643	2005
27425_7#122.contigs_velvet.fa	2513999	348	124555	2569
27754_1#84.contigs_velvet.fa	2184222	93	242340	2153
27689_3#80.contigs_velvet.fa	2122275	33	130424	2081
6710_8#13.contigs_velvet.fa	2011557	43	100095	1954
6949_2#20.contigs_velvet.fa	2123004	72	66365	2043
6805_7#7.contigs_velvet.fa	2064490	147	29006	1997
6972_5#19.contigs_velvet.fa	2150829	56	98554	2095
28157_1#128.contigs_velvet.fa	3648176	3296	1884	4020
6899_6#18.contigs_velvet.fa	2117197	68	60315	2066
6972_5#8.contigs_velvet.fa	2036842	63	67547	1969
28354_1#63.contigs_velvet.fa	2150178	25	141388	2139
6736_7#20.contigs_velvet.fa	2042896	72	52586	1977
28354_1#77.contigs_velvet.fa	2068088	24	194855	1990
7004_7#66.contigs_velvet.fa	2092520	80	52043	2042
6983_5#13.contigs_velvet.fa	2083269	63	55886	2025
28157_2#72.contigs_velvet.fa	2126912	29	216682	2098
6753_3#14.contigs_velvet.fa	2069896	64	66014	2001
6983_5#6.contigs_velvet.fa	2127538	59	76112	2067
27536_3#116.contigs_velvet.fa	2136741	19	298331	2083
6593_5#10.contigs_velvet.fa	2154789	49	62237	2083
28157_1#57.contigs_velvet.fa	2220749	35	362483	2206
27689_3#114.contigs_velvet.fa	2088073	23	151199	2026
27958_1#97.contigs_velvet.fa	2106421	32	142291	2057
7038_6#6.contigs_velvet.fa	2077950	42	93186	1999
6983_4#75.contigs_velvet.fa	2044863	58	58656	1981
7004_6#32.contigs_velvet.fa	2120294	72	66569	2095
28157_3#155.contigs_velvet.fa	2155976	29	234565	2135
27689_4#75.contigs_velvet.fa	2130441	26	166167	2115
27463_3#76.contigs_velvet.fa	2132204	42	145146	2057
6710_6#11.contigs_velvet.fa	2057555	38	95050	1977
6938_5#19.contigs_velvet.fa	2184737	115	34630	2134
6899_7#7.contigs_velvet.fa	2080702	58	74895	2028
6755_3#4.contigs_velvet.fa	2140380	56	73950	2093
27630_2#182.contigs_velvet.fa	2119153	38	108782	2078
28049_1#182.contigs_velvet.fa	2097305	38	157279	2049
27536_3#92.contigs_velvet.fa	2160670	63	135835	2133
6805_3#4.contigs_velvet.fa	2097760	50	87556	2110
28157_3#80.contigs_velvet.fa	2128526	15	297638	2131
27644_5#37.contigs_velvet.fa	3362687	3963	1423	3699
27536_3#135.contigs_velvet.fa	2143265	17	381168	2075
6631_1#2.contigs_velvet.fa	2091238	60	61789	2012
27689_2#100.contigs_velvet.fa	2136205	34	242137	2100
28042_1#93.contigs_velvet.fa	2077855	27	118582	2026
27425_7#69.contigs_velvet.fa	2128136	12	628012	2088
6938_8#17.contigs_velvet.fa	2172078	62	87114	2151
7004_6#47.contigs_velvet.fa	2123810	47	77475	2086
28049_1#34.contigs_velvet.fa	3771449	3130	2235	4064
5381_2#3.contigs_velvet.fa	2031809	64	58477	1966
27425_7#15.contigs_velvet.fa	2099673	32	251930	2051
28354_1#115.contigs_velvet.fa	3645571	2473	3599	4021
6805_7#20.contigs_velvet.fa	2160795	60	76342	2120
27644_5#8.contigs_velvet.fa	2391002	330	218826	2451
6649_7#17.contigs_velvet.fa	2112069	77	50023	2027
28048_1#19.contigs_velvet.fa	2103197	30	108555	2053
5737_7#6.contigs_velvet.fa	2127346	141	33089	2083
7004_7#71.contigs_velvet.fa	2034107	68	52181	1961
28157_3#132.contigs_velvet.fa	2255902	38	112687	2227
27463_3#81.contigs_velvet.fa	3419551	2886	1869	3705
27535_1#144.contigs_velvet.fa	2131248	31	124889	2114
27644_5#172.contigs_velvet.fa	2133806	33	186686	2139
6731_6#13.contigs_velvet.fa	2105949	77	55531	2047
6731_2#1.contigs_velvet.fa	2154547	108	39073	2112
6840_3#15.contigs_velvet.fa	2083373	53	90849	2024
27689_4#73.contigs_velvet.fa	2096686	35	172081	2062
27644_5#56.contigs_velvet.fa	7105944	11013	1235	7628
6680_7#16.contigs_velvet.fa	2172024	60	74820	2129
6259_8#16.contigs_velvet.fa	2074581	161	23896	2013
6938_6#16.contigs_velvet.fa	2041202	73	55782	1967
28048_1#95.contigs_velvet.fa	2100447	41	203159	2058
28048_1#17.contigs_velvet.fa	2166702	18	340988	2103
6925_6#24.contigs_velvet.fa	2076160	49	72967	2021
27463_3#22.contigs_velvet.fa	2228852	29	251728	2241
6823_3#7.contigs_velvet.fa	2176679	74	60114	2152
6753_1#3.contigs_velvet.fa	2066288	63	75037	2000
6755_6#1.contigs_velvet.fa	2136784	59	69195	2047
7054_6#11.contigs_velvet.fa	2097336	68	53143	2059
27689_2#37.contigs_velvet.fa	2069006	26	168863	2006
27644_5#102.contigs_velvet.fa	2148936	20	430383	2139
7004_7#51.contigs_velvet.fa	2088956	64	59635	2029
6755_6#17.contigs_velvet.fa	2086432	45	86051	2037
27644_5#112.contigs_velvet.fa	2232868	66	125129	2216
6775_2#5.contigs_velvet.fa	2073075	75	60626	1994
27535_1#180.contigs_velvet.fa	2137710	19	504010	2087
6983_8#93.contigs_velvet.fa	2055934	56	74016	1998
7011_6#22.contigs_velvet.fa	2105947	69	63145	2071
6840_3#20.contigs_velvet.fa	2103525	57	78809	2047
6680_8#20.contigs_velvet.fa	2150653	66	58034	2100
27644_5#94.contigs_velvet.fa	2166066	29	212791	2124
6983_3#67.contigs_velvet.fa	2008617	53	81396	1931
7054_6#5.contigs_velvet.fa	2124735	63	60892	2087
6641_6#9.contigs_velvet.fa	2104581	117	38289	2066
28157_3#144.contigs_velvet.fa	2031090	7	1445386	1982
28157_1#23.contigs_velvet.fa	2186544	16	294999	2183
6830_3#13.contigs_velvet.fa	2169377	60	77565	2154
6630_4#9.contigs_velvet.fa	2170447	153	27062	2120
28354_1#100.contigs_velvet.fa	3090595	389	84914	3201
6949_3#17.contigs_velvet.fa	2106365	50	79429	2049
28049_1#168.contigs_velvet.fa	2898887	551	156117	3010
6753_1#23.contigs_velvet.fa	2110719	71	56586	2079
6259_6#24.contigs_velvet.fa	2147628	64	79290	2135
6807_2#6.contigs_velvet.fa	2076092	76	55551	2013
27859_1#153.contigs_velvet.fa	2115219	32	103918	2070
7038_8#36.contigs_velvet.fa	2089092	57	73653	2019
27689_4#83.contigs_velvet.fa	2123155	28	131786	2086
6805_2#19.contigs_velvet.fa	2124884	57	62124	2095
27425_7#135.contigs_velvet.fa	2873688	611	618668	2848
7011_6#7.contigs_velvet.fa	2078762	65	67684	2016
6972_4#17.contigs_velvet.fa	2132840	74	64729	2139
27689_2#150.contigs_velvet.fa	2077062	32	118337	2015
6730_5#18.contigs_velvet.fa	2073529	59	63403	2003
5381_1#10.contigs_velvet.fa	2105403	64	57140	2066
7038_4#10.contigs_velvet.fa	2022860	39	94988	1973
28157_3#120.contigs_velvet.fa	2097354	22	195866	2045
6753_2#1.contigs_velvet.fa	2051422	65	62047	1987
28157_3#14.contigs_velvet.fa	2149030	22	320060	2140
28157_2#183.contigs_velvet.fa	2076662	30	141677	2024
27689_1#112.contigs_velvet.fa	2881929	371	120878	3065
7038_6#1.contigs_velvet.fa	2027638	54	63425	1941
6649_8#24.contigs_velvet.fa	2164249	62	80369	2167
27644_5#50.contigs_velvet.fa	4525405	8155	755	5251
6807_2#22.contigs_velvet.fa	2061558	73	54305	1994
6949_2#12.contigs_velvet.fa	2045317	64	62435	1973
6972_4#22.contigs_velvet.fa	2096959	51	84686	2025
7054_4#22.contigs_velvet.fa	2084876	37	122564	2015
27689_3#100.contigs_velvet.fa	2088785	39	137141	2061
6983_2#24.contigs_velvet.fa	2116733	48	93985	2058
27859_1#142.contigs_velvet.fa	2112738	31	103837	2071
6949_4#4.contigs_velvet.fa	2057883	83	48788	1989
27425_7#44.contigs_velvet.fa	2344242	300	415874	2345
27958_1#92.contigs_velvet.fa	2132834	26	177506	2091
27425_7#23.contigs_velvet.fa	3212716	1038	23931	3332
6807_3#16.contigs_velvet.fa	2055460	76	54365	1986
6755_4#3.contigs_velvet.fa	2009021	30	147608	1974
6841_7#19.contigs_velvet.fa	2019797	71	54259	1948
27754_1#164.contigs_velvet.fa	2096270	34	211565	2051
27425_7#9.contigs_velvet.fa	3469029	3911	1490	3839
6840_1#22.contigs_velvet.fa	2064590	54	74412	1993
7054_6#9.contigs_velvet.fa	2047744	55	68480	1977
6731_6#11.contigs_velvet.fa	2054362	36	150401	2002
6805_5#4.contigs_velvet.fa	2093177	65	93853	2066
6972_3#18.contigs_velvet.fa	2012244	59	58880	1958
6805_4#8.contigs_velvet.fa	2127818	64	83585	2066
6823_2#15.contigs_velvet.fa	2127680	76	49315	2060
28042_1#116.contigs_velvet.fa	2202116	45	219981	2208
27859_1#68.contigs_velvet.fa	2208957	37	137820	2182
6753_4#9.contigs_velvet.fa	2125680	64	63847	2061
7054_4#7.contigs_velvet.fa	2080545	45	73749	2035
6736_4#7.contigs_velvet.fa	2107920	57	61537	2040
27859_1#94.contigs_velvet.fa	3211449	1148	22277	3796
27463_3#69.contigs_velvet.fa	2103610	30	118410	2046
27689_3#108.contigs_velvet.fa	3241894	3939	1668	3688
27425_7#13.contigs_velvet.fa	3247756	509	135590	3337
6972_2#11.contigs_velvet.fa	2080090	57	71429	2036
6649_8#2.contigs_velvet.fa	2115177	51	73231	2065
6593_4#21.contigs_velvet.fa	2065706	53	69673	2006
27958_1#12.contigs_velvet.fa	2174245	23	180612	2111
5392_7#11.contigs_velvet.fa	2073598	62	58558	2011
7004_5#6.contigs_velvet.fa	2175501	62	74286	2160
7004_8#85.contigs_velvet.fa	2133895	54	76332	2077
6972_3#6.contigs_velvet.fa	2127625	44	93669	2099
28042_1#181.contigs_velvet.fa	2712041	516	81373	2713
6972_5#22.contigs_velvet.fa	2129905	67	63981	2078
6823_7#20.contigs_velvet.fa	2120862	55	83622	2042
6714_8#17.contigs_velvet.fa	2079105	167	30142	2003
27536_3#108.contigs_velvet.fa	2113988	21	691093	2065
6753_3#17.contigs_velvet.fa	2127948	54	83103	2033
7004_8#84.contigs_velvet.fa	2124039	60	66350	2097
28354_1#94.contigs_velvet.fa	2129964	36	255928	2075
6731_1#7.contigs_velvet.fa	2152175	83	49164	2104
27958_1#79.contigs_velvet.fa	2115044	34	108652	2068
7004_7#49.contigs_velvet.fa	2151201	64	52626	2099
27689_1#63.contigs_velvet.fa	2181980	31	302790	2155
6753_2#2.contigs_velvet.fa	2086220	76	44364	2010
7038_4#2.contigs_velvet.fa	2084476	53	78005	2014
28157_1#124.contigs_velvet.fa	2080021	35	118666	2028
28042_1#143.contigs_velvet.fa	2038982	28	214859	2003
5381_2#11.contigs_velvet.fa	1986989	317	10919	1956
28157_1#44.contigs_velvet.fa	2992139	367	82342	3143
27644_5#47.contigs_velvet.fa	3459157	2921	1889	3751
6983_5#10.contigs_velvet.fa	2120204	89	51858	2055
27630_2#161.contigs_velvet.fa	2129176	9	824722	2084
27689_2#138.contigs_velvet.fa	2032298	21	191890	2009
6807_3#19.contigs_velvet.fa	2095644	93	54250	2053
5381_3#3.contigs_velvet.fa	2069261	79	45688	2012
6593_4#12.contigs_velvet.fa	2133706	37	166282	2101
6631_3#13.contigs_velvet.fa	2108785	55	73635	2053
27958_1#85.contigs_velvet.fa	2122741	25	137226	2084
28157_2#185.contigs_velvet.fa	2119190	29	131802	2075
27536_3#11.contigs_velvet.fa	4497268	5841	1194	5114
6949_2#22.contigs_velvet.fa	2155778	61	72665	2123
6755_5#2.contigs_velvet.fa	2102136	54	60608	2055
6755_1#13.contigs_velvet.fa	2036366	79	53713	1974
6949_4#8.contigs_velvet.fa	2018991	47	78850	1970
6710_7#24.contigs_velvet.fa	2113768	48	73819	2051
7004_6#41.contigs_velvet.fa	2117823	46	118569	2092
27689_3#69.contigs_velvet.fa	2126014	10	1113060	2083
